2023-09-25 08:46:25,141 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 64,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.400,000,000 s)
2023-09-25 08:46:25,141 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 65,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.500,000,000 s)
2023-09-25 08:46:25,142 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 66,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.600,000,000 s)
2023-09-25 08:46:25,142 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 67,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.700,000,000 s)
2023-09-25 08:46:25,142 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 68,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.800,000,000 s)
2023-09-25 08:46:25,142 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 69,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.900,000,000 s)
2023-09-25 08:46:25,144 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 70,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.000,000,000 s)
2023-09-25 08:46:25,145 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 71,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.100,000,000 s)
2023-09-25 08:46:25,145 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 72,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.200,000,000 s)
2023-09-25 08:46:25,145 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 73,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.300,000,000 s)
2023-09-25 08:46:25,145 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 74,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.400,000,000 s)
2023-09-25 08:46:25,145 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 75,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.500,000,000 s)
2023-09-25 08:46:25,146 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 76,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.600,000,000 s)
2023-09-25 08:46:25,146 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 77,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.700,000,000 s)
2023-09-25 08:46:25,146 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 78,  41.630900296168306,  -71.00218020791037, Road CLOSED, }, Latitude= 41.630900296168306, Longitude= -71.00218020791037,  (at simulation time 14.800,000,000 s)
