2023-09-25 08:47:01,081 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=46,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.600,000,000 s)
2023-09-25 08:47:01,082 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=36,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.603,800,000 s)
2023-09-25 08:47:01,082 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=47,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.700,000,000 s)
2023-09-25 08:47:01,083 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=37,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.702,800,000 s)
2023-09-25 08:47:01,083 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=48,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.800,000,000 s)
2023-09-25 08:47:01,083 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=38,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.803,300,000 s)
2023-09-25 08:47:01,084 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=49,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.900,000,000 s)
2023-09-25 08:47:01,084 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=39,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.904,300,000 s)
2023-09-25 08:47:01,086 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=50,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.000,000,000 s)
2023-09-25 08:47:01,087 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=40,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.003,800,000 s)
