2023-09-25 08:46:32,656 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 380,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.001,900,000 s)
2023-09-25 08:46:32,656 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 461,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.100,900,000 s)
2023-09-25 08:46:32,656 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 381,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.100,900,000 s)
2023-09-25 08:46:32,656 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 462,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.200,400,000 s)
2023-09-25 08:46:32,656 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 382,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.200,400,000 s)
2023-09-25 08:46:32,656 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 463,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.301,900,000 s)
2023-09-25 08:46:32,656 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 383,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.301,900,000 s)
2023-09-25 08:46:32,656 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 464,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.401,400,000 s)
2023-09-25 08:46:32,656 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 384,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.401,400,000 s)
2023-09-25 08:46:32,656 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 465,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.501,900,000 s)
2023-09-25 08:46:32,656 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 385,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.501,900,000 s)
2023-09-25 08:46:32,657 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 466,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.600,900,000 s)
2023-09-25 08:46:32,657 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 386,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.600,900,000 s)
2023-09-25 08:46:32,657 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 467,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.701,400,000 s)
2023-09-25 08:46:32,657 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 387,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.701,400,000 s)
2023-09-25 08:46:32,657 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 468,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.801,400,000 s)
2023-09-25 08:46:32,657 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 388,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.801,400,000 s)
2023-09-25 08:46:32,657 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 469,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.902,400,000 s)
2023-09-25 08:46:32,657 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 389,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 53.902,400,000 s)
2023-09-25 08:46:32,658 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 470,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.002,400,000 s)
2023-09-25 08:46:32,658 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 390,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.002,400,000 s)
2023-09-25 08:46:32,658 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 471,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.101,400,000 s)
2023-09-25 08:46:32,658 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 391,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.101,400,000 s)
2023-09-25 08:46:32,658 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 472,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.201,900,000 s)
2023-09-25 08:46:32,658 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 392,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.201,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 473,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.300,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 393,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.300,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 474,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.401,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 394,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.401,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 475,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.500,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 395,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.500,900,000 s)
2023-09-25 08:46:32,659 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 476,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.600,400,000 s)
2023-09-25 08:46:32,659 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 396,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.600,400,000 s)
2023-09-25 08:46:32,659 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 477,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.702,400,000 s)
2023-09-25 08:46:32,659 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 397,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 54.702,400,000 s)
2023-09-25 08:46:32,659 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 478,  41.632363075112565,  -71.00459540294077, Road CLOSED, } (at simulation time 54.802,400,000 s)
